x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
A1551,A0,A0,23.0,A0,A1,A2,A2,A2,A1,85.6,A0
A1552,A0,A1,56.0,A0,A0,A0,A0,A0,A3,19.55,A0
A1553,A0,A1,35.0,A0,A1,A2,A2,A1,A1,86.45,
A1554,A0,A0,61.0,A0,A1,A2,A1,A2,A0,115.1,A0
A1555,A0,A1,7.0,A0,A0,A2,A2,A1,A1,79.7,A1
A1556,A0,A0,60.0,A0,A1,A2,A1,A2,A1,99.8,A0
A1557,A1,A1,71.0,A0,A1,A2,A1,A2,A1,105.9,A0
A1558,A1,A0,34.0,A0,A1,A2,A1,A1,A2,79.6,A1
A1559,A1,A1,8.0,A0,A1,A2,A2,A2,A1,85.2,A0
A1560,A1,A0,66.0,A0,A1,A2,A2,A2,A0,105.95,A1
A1561,A0,A0,23.0,A0,A1,A0,A0,A0,A2,24.35,A0
A1562,A0,A1,27.0,A0,A0,A0,A0,A0,A0,19.85,A0
A1563,A0,A1,12.0,A0,A0,A1,A2,A1,A3,45.0,A0
A1564,A0,A1,13.0,A0,A0,A0,A0,A0,A2,20.4,A0
A1565,A0,A1,,A0,A1,A2,A2,A2,A3,100.55,
A1566,A1,A0,68.0,A0,A1,A2,A1,A2,A3,89.6,A1
,A0,A0,69.0,A0,A0,A1,A1,A2,A2,84.7,A0
A1568,A0,A1,36.0,A0,A1,A2,A1,A2,A1,99.15,
A1569,A1,A0,37.0,A0,A1,A2,A2,A1,A1,85.7,
A1570,A1,A1,15.0,A0,A1,A2,A2,A1,A0,74.2,A1
A1571,A0,A1,20.0,A0,A1,A1,A1,A2,A0,68.9,A0
A1572,A0,A0,57.0,A1,A2,A1,A1,A2,A3,57.5,A0
A1573,A1,A1,43.0,A0,A0,A2,A1,A2,A0,108.15,A1
A1574,A0,A1,10.0,A1,A2,A1,A1,A1,A3,40.7,A0
A1575,A1,A0,28.0,A0,A1,A0,A0,A0,A2,25.7,A0
A1576,A1,A1,23.0,A0,A0,A2,A2,A1,A3,75.4,A0
A1577,A0,A0,64.0,A0,A0,A1,A1,A2,A2,68.3,A0
A1578,A0,A0,54.0,A0,A0,A1,A1,A2,A3,74.55,A0
A1579,A0,A1,4.0,A0,A0,A0,A0,A0,A2,19.0,
A1580,A0,A1,19.0,A0,A0,A1,A1,A2,A3,65.35,A0
A1581,A0,A1,26.0,A0,A1,A1,A2,A1,A2,49.5,A0
A1582,A0,A1,20.0,A0,A1,A1,A2,A1,A3,59.2,A0
A1583,A0,A0,68.0,A0,A0,A1,A2,A1,A3,55.9,A0
A1584,A0,A1,20.0,A0,A0,A0,A0,A0,A2,19.7,A0
A1585,A0,A1,59.0,A0,A1,A2,A1,A2,A1,111.35,A0
A1586,A0,A1,3.0,A0,A0,A2,A2,A1,A1,74.55,A0
A1587,A0,A1,6.0,A0,A0,A0,A0,A0,A2,19.55,A0
A1588,A1,A1,15.0,A0,A0,A2,A1,A1,A1,74.4,
A1589,A0,A0,72.0,A0,A1,A2,A2,A2,A0,90.8,A0
A1590,A1,A1,11.0,A0,A0,A1,A1,A1,A1,54.55,A0
A1591,A0,A1,59.0,A0,A1,A0,A0,A0,A2,25.0,
A1592,A0,A0,71.0,A0,A1,A1,A1,A2,A0,84.2,A0
A1593,A0,A0,16.0,A0,A1,A2,A2,A1,A1,84.95,A1
A1594,A0,A1,2.0,A0,A0,A1,A2,A1,A1,45.15,
A1595,A0,A1,5.0,A0,A0,A0,A0,A0,A2,19.25,A0
A1596,A0,A1,4.0,A0,A0,A0,A0,A0,A0,20.4,A0
A1597,A0,A0,59.0,A0,A0,A0,A0,A0,A2,19.85,A0
A1598,A0,A1,37.0,A1,A2,A1,A2,A1,A0,35.8,A0
A1599,A1,A0,41.0,A0,A0,A2,A1,A2,A1,94.55,A0
A1600,A0,A1,5.0,A0,A0,A1,A2,A1,A2,55.75,A0
A1601,A1,A0,71.0,A0,A1,A2,A1,A2,A3,115.05,A0
A1602,A0,A1,,A0,A0,A0,A0,A0,A2,19.85,A0
A1603,A0,A0,58.0,A0,A1,A2,A1,A2,A0,109.1,A0
A1604,A0,A0,65.0,A0,A1,A2,A1,A1,A0,99.05,A0
A1605,A1,A1,1.0,A0,A0,A1,A2,A1,A1,55.8,A1
A1606,A1,A1,1.0,A0,A1,A2,A2,A1,A1,75.75,A1
A1607,A1,A1,2.0,A0,A0,A2,A1,A2,A0,95.1,
A1608,A0,A0,70.0,A0,A1,A1,A2,A2,A3,65.2,A0
A1609,A0,A0,10.0,A0,A0,A0,A0,A0,A3,19.8,A0
A1610,A0,A0,31.0,A0,A0,A1,A2,A2,A1,64.0,
A1611,A0,A0,38.0,A0,A1,A2,A2,A2,A1,110.7,A0
A1612,A0,A0,53.0,A0,A1,A1,A2,A2,A1,71.85,A0
A1613,A0,A0,32.0,A0,A0,A0,A0,A0,A2,19.3,A0
A1614,A0,A1,3.0,A0,A0,A2,A2,A2,A0,99.0,A1
A1615,A0,A1,13.0,A0,A0,A0,A0,A0,A1,20.4,A0
A1616,A0,A0,,A0,A1,A1,A2,A2,A3,85.1,
A1617,A0,A1,21.0,A0,A0,A0,A0,A0,A2,20.75,A0
A1618,A0,A0,61.0,A0,A0,A0,A0,A0,A0,20.55,A0
A1619,A0,A1,14.0,A0,A0,A0,A0,A0,A2,19.95,A0
A1620,A0,A1,1.0,A0,A0,A2,A2,A2,A1,89.35,A0
A1621,A0,A1,,A0,A0,A0,A0,A0,A3,19.65,A0
A1622,A0,A0,29.0,A0,A0,A0,A0,A0,A1,20.0,A0
A1623,A0,A1,21.0,A0,A0,A1,A2,A2,A2,61.65,A0
A1624,A0,A1,17.0,A0,A0,A1,A1,A1,A2,56.1,
A1625,A1,A1,14.0,A0,A0,A2,A2,A2,A0,90.45,A1
A1626,A0,A0,7.0,A0,A0,A2,A2,A1,A1,69.0,A1
A1627,A1,A1,45.0,A1,A2,A1,A2,A2,A1,34.2,A0
A1628,A0,A1,50.0,A1,A2,A1,A2,A1,A2,35.4,A0
A1629,A0,A1,20.0,A0,A0,A1,A2,A1,A2,50.0,A0
A1630,A0,A1,28.0,A1,A2,A1,A2,A1,A2,29.75,A0
A1631,A0,A0,72.0,A0,A1,A2,A1,A2,A0,107.45,A0
A1632,A0,A0,69.0,A0,A0,A1,A1,A1,A3,75.75,A0
A1633,A1,A1,43.0,A1,A2,A1,A1,A1,A0,33.45,A0
A1634,A1,A0,60.0,A0,A1,A2,A1,A2,A1,104.35,A0
A1635,A0,A1,2.0,A0,A0,A2,A2,A1,A1,80.25,A1
A1636,A0,A1,72.0,A0,A1,A2,A1,A2,A0,115.05,A0
A1637,A0,A1,10.0,A0,A1,A2,A2,A1,A1,74.75,A1
A1638,A0,A1,2.0,A0,A0,A2,A1,A2,A1,95.65,A1
A1639,A0,A1,21.0,A1,A2,A1,A2,A1,A2,43.55,A0
A1640,A0,A0,62.0,A0,A0,A1,A2,A1,A3,70.75,A0
A1641,A0,A1,1.0,A0,A0,A1,A2,A2,A2,54.75,A1
A1642,A0,A0,72.0,A0,A1,A0,A0,A0,A3,25.2,A0
A1643,A0,A1,,A0,A0,A0,A0,A0,A2,20.1,A1
A1644,A0,A1,46.0,A0,A1,A2,A1,A1,A2,84.25,A0
A1645,A0,A0,,A0,A0,A0,A0,A0,A0,20.55,A1
A1646,A1,A1,8.0,A0,A1,A2,A2,A1,A1,81.25,A1
A1647,A0,A1,1.0,A1,A2,A1,A2,A2,A1,35.9,A1
A1648,A0,A0,30.0,A0,A1,A1,A2,A1,A1,49.9,A0
A1649,A0,A0,37.0,A0,A1,A2,A1,A2,A1,95.15,A0
A1650,A0,A0,60.0,A0,A0,A0,A0,A0,A2,19.95,A0
A1651,A0,A0,72.0,A0,A1,A1,A1,A2,A0,90.8,A0
A1652,A0,A1,23.0,A0,A1,A0,A0,A0,A0,24.8,A0
A1653,A0,A1,,A0,A0,A0,A0,A0,A2,19.7,A1
A1654,A0,A1,4.0,A0,A0,A1,A1,A1,A1,55.2,A0
A1655,A0,A0,72.0,A0,A1,A2,A1,A2,A1,99.4,A0
A1656,A0,A1,19.0,A0,A1,A1,A1,A1,A2,75.9,A0
A1657,A1,A0,24.0,A1,A2,A1,A2,A2,A0,40.65,A1
A1658,A0,A1,72.0,A0,A1,A1,A1,A2,A0,88.55,A0
A1659,A0,A1,28.0,A0,A0,A1,A2,A1,A3,59.55,A0
A1660,A0,A1,4.0,A0,A0,A0,A0,A0,A2,19.95,A0
A1661,A0,A0,3.0,A1,A2,A1,A2,A1,A2,31.0,A1
A1662,A0,A1,12.0,A0,A0,A0,A0,A0,A2,20.4,A0
A1663,A1,A0,33.0,A0,A1,A2,A1,A1,A3,80.6,A1
A1664,A0,A1,1.0,A0,A1,A1,A2,A1,A1,59.85,
A1665,A0,A0,70.0,A0,A1,A2,A1,A2,A0,116.55,A0
A1666,A0,A1,58.0,A0,A0,A0,A0,A0,A3,19.15,
A1667,A0,A0,60.0,A0,A0,A1,A2,A1,A2,59.8,A0
A1668,A0,A0,0.0,A0,A0,A1,A1,A2,A2,80.85,A0
A1669,A0,A1,13.0,A0,A1,A2,A2,A2,A1,100.75,A0
A1670,A0,A0,71.0,A0,A1,A2,A1,A2,A1,116.25,A0
A1671,A0,A1,34.0,A0,A0,A2,A1,A1,A0,73.95,A1
A1672,A0,A0,70.0,A0,A1,A2,A1,A2,A1,109.5,A1
A1673,A0,A0,5.0,A0,A0,A2,A2,A1,A1,85.75,A1
A1674,A0,A0,55.0,A0,A1,A0,A0,A0,A3,25.7,A0
A1675,A0,A1,4.0,A0,A1,A2,A2,A2,A1,85.65,A1
A1676,A1,A0,,A0,A1,A2,A1,A2,A1,94.55,
A1677,A0,A1,1.0,A1,A2,A1,A2,A1,A1,24.6,A1
A1678,A0,A0,70.0,A0,A1,A0,A0,A0,A2,24.05,A0
A1679,A0,A1,7.0,A0,A0,A1,A1,A1,A1,61.4,A0
A1680,A0,A0,21.0,A0,A0,A1,A2,A2,A2,80.9,A0
A1681,A0,A0,56.0,A0,A0,A2,A2,A2,A1,98.7,A0
A1682,A0,A0,31.0,A0,A1,A2,A1,A1,A1,93.8,A1
A1683,A0,A0,6.0,A0,A1,A2,A1,A2,A1,105.3,A1
A1684,A0,A0,34.0,A0,A0,A2,A2,A2,A3,78.95,A0
A1685,A0,A0,1.0,A1,A2,A1,A2,A1,A3,30.5,A1
A1686,A0,A1,8.0,A0,A0,A1,A2,A2,A3,66.05,
A1687,A0,A0,,A0,A0,A0,A0,A0,A0,19.6,A0
A1688,A0,A0,52.0,A0,A0,A0,A0,A0,A0,19.6,A0
A1689,A0,A1,4.0,A0,A0,A1,A2,A1,A1,56.4,A0
A1690,A0,A1,40.0,A0,A0,A1,A1,A1,A2,65.1,A0
A1691,A0,A0,71.0,A0,A1,A1,A1,A2,A3,86.85,A0
A1692,A1,A1,3.0,A1,A2,A1,A2,A2,A1,41.15,A1
A1693,A1,A0,,A0,A1,A2,A1,A1,A1,84.65,A0
A1694,A0,A1,5.0,A0,A1,A2,A2,A1,A1,82.75,A0
A1695,A0,A0,72.0,A0,A1,A1,A1,A2,A0,83.6,
A1696,A1,A0,19.0,A0,A0,A1,A2,A1,A3,66.4,A0
A1697,A0,A0,4.0,A0,A0,A1,A2,A1,A2,45.25,A0
A1698,A1,A1,59.0,A0,A1,A2,A1,A1,A1,89.75,A0
A1699,A0,A0,22.0,A0,A0,A0,A0,A0,A3,19.05,A0
A1700,A0,A1,58.0,A0,A1,A2,A1,A2,A1,107.75,A0
A1701,A1,A1,4.0,A0,A0,A2,A2,A1,A1,69.35,
A1702,A0,A1,19.0,A0,A0,A0,A0,A0,A2,20.5,A0
A1703,A0,A0,16.0,A0,A0,A0,A0,A0,A1,19.75,A0
A1704,A0,A0,,A0,A1,A2,A1,A2,A1,109.6,A0
A1705,A0,A0,72.0,A0,A1,A2,A1,A1,A0,106.1,A0
A1706,A0,A0,,A0,A0,A0,A0,A0,A3,19.2,A0
A1707,A1,A1,20.0,A0,A0,A1,A2,A1,A2,54.0,A0
A1708,A0,A0,56.0,A0,A1,A0,A0,A0,A0,24.95,A0
A1709,A0,A0,38.0,A0,A0,A0,A0,A0,A1,19.6,A0
A1710,A0,A1,69.0,A0,A1,A0,A0,A0,A0,24.6,A0
A1711,A1,A1,23.0,A0,A0,A2,A1,A2,A1,94.75,A1
A1712,A0,A1,10.0,A0,A0,A1,A2,A1,A3,62.25,A0
A1713,A0,A0,27.0,A0,A1,A2,A2,A2,A3,90.15,A0
A1714,A0,A1,15.0,A0,A1,A1,A2,A1,A1,49.0,A0
A1715,A0,A0,72.0,A0,A1,A0,A0,A0,A3,24.65,A0
A1716,A0,A1,3.0,A0,A1,A2,A2,A1,A3,74.4,
A1717,A0,A0,37.0,A0,A1,A2,A2,A2,A1,95.25,A0
A1718,A0,A0,0.0,A0,A1,A0,A0,A0,A2,25.75,
A1719,A1,A0,27.0,A1,A2,A1,A2,A1,A0,30.75,
A1720,A1,A0,64.0,A0,A0,A2,A1,A2,A3,97.0,A0
A1721,A0,A1,4.0,A0,A1,A2,A2,A1,A1,90.65,A0
A1722,A0,A0,,A0,A1,A2,A1,A2,A1,93.8,A0
A1723,A0,A1,35.0,A0,A0,A1,A1,A1,A1,60.55,A0
A1724,A0,A0,6.0,A1,A2,A1,A1,A1,A2,40.55,
A1725,A0,A1,48.0,A0,A1,A1,A1,A2,A0,83.45,A0
A1726,A0,A1,1.0,A0,A0,A0,A0,A0,A2,20.2,A1
A1727,A0,A1,56.0,A0,A1,A0,A0,A0,A2,24.8,A0
A1728,A0,A1,13.0,A1,A2,A1,A1,A1,A1,31.05,A1
A1729,A0,A1,,A0,A0,A0,A0,A0,A2,20.25,A0
A1730,A1,A0,65.0,A0,A1,A2,A1,A2,A1,104.35,A0
A1731,A0,A0,56.0,A0,A1,A2,A2,A1,A3,85.6,A0
A1732,A0,A0,1.0,A0,A0,A0,A0,A0,A2,19.7,A0
A1733,A0,A0,70.0,A0,A1,A2,A1,A2,A1,106.5,A0
A1734,A0,A0,65.0,A0,A0,A1,A2,A2,A3,74.8,A1
A1735,A0,A1,12.0,A0,A0,A0,A0,A0,A3,19.45,
A1736,A0,A1,3.0,A0,A0,A0,A0,A0,A1,20.25,A0
A1737,A0,A0,70.0,A0,A1,A2,A1,A2,A0,108.15,A0
A1738,A0,A1,53.0,A0,A1,A2,A1,A1,A1,90.8,A0
A1739,A0,A0,55.0,A0,A0,A1,A1,A1,A1,55.7,A0
A1740,A0,A0,64.0,A0,A1,A2,A1,A2,A0,109.2,A0
A1741,A0,A1,43.0,A0,A0,A2,A1,A2,A0,106.0,A0
A1742,A0,A0,20.0,A0,A1,A0,A0,A0,A3,25.55,
A1743,A0,A1,37.0,A0,A0,A2,A2,A1,A2,70.35,
A1744,A0,A1,42.0,A0,A1,A1,A1,A1,A3,60.15,
A1745,A0,A1,62.0,A1,A2,A1,A1,A2,A0,43.6,A0
A1746,A0,A0,9.0,A0,A1,A2,A2,A2,A1,88.05,
A1747,A0,A1,5.0,A0,A0,A2,A1,A2,A1,96.25,
A1748,A0,A1,4.0,A0,A1,A0,A0,A0,A2,25.25,A0
A1749,A0,A1,22.0,A0,A1,A2,A1,A1,A2,78.85,A0
A1750,A1,A1,41.0,A0,A1,A2,A2,A2,A1,98.4,
A1751,A0,A0,66.0,A0,A1,A1,A1,A2,A1,85.25,A0
A1752,A0,A1,8.0,A0,A0,A1,A2,A1,A1,49.4,A0
A1753,A0,A1,1.0,A0,A0,A0,A0,A0,A2,20.45,
A1754,A0,A0,15.0,A0,A1,A2,A2,A1,A3,74.9,A1
A1755,A0,A1,41.0,A0,A1,A0,A0,A0,A2,24.85,A0
A1756,A0,A0,17.0,A0,A0,A0,A0,A0,A2,19.35,A0
A1757,A1,A0,11.0,A0,A1,A2,A2,A2,A3,104.05,A1
A1758,A0,A1,56.0,A0,A1,A2,A1,A2,A1,98.6,
A1759,A0,A1,1.0,A0,A0,A2,A2,A1,A1,69.2,A1
A1760,A1,A1,57.0,A0,A1,A1,A1,A2,A3,79.75,
A1761,A0,A0,7.0,A0,A0,A1,A1,A1,A1,69.45,A0
A1762,A0,A0,45.0,A0,A0,A1,A1,A1,A0,54.15,A1
A1763,A0,A1,49.0,A0,A1,A2,A1,A2,A3,106.65,A0
A1764,A0,A0,71.0,A1,A2,A1,A1,A2,A3,58.25,A0
A1765,A0,A0,5.0,A0,A0,A0,A0,A0,A2,20.1,A0
A1766,A0,A0,9.0,A0,A0,A2,A2,A1,A3,75.75,A1
A1767,A0,A0,71.0,A1,A2,A1,A1,A2,A3,59.7,A0
A1768,A0,A0,4.0,A0,A1,A2,A2,A1,A1,74.65,A1
A1769,A0,A1,1.0,A0,A1,A2,A2,A2,A1,93.85,A1
A1770,A0,A1,56.0,A0,A0,A2,A1,A1,A1,73.85,A1
A1771,A0,A0,50.0,A0,A1,A1,A2,A2,A3,75.7,A0
A1772,A0,A0,59.0,A0,A1,A1,A1,A2,A0,90.3,A0
A1773,A0,A0,,A0,A0,A1,A1,A2,A3,66.5,
A1774,A0,A0,371.627878412454,A0,A0,A0,A0,A0,A2,20.6,A0
A1775,A1,A0,71.0,A0,A1,A1,A1,A2,A3,72.9,A0
A1776,A0,A0,62.0,A0,A0,A1,A1,A2,A1,86.1,A0
A1777,A0,A1,4.0,A0,A0,A2,A2,A2,A1,79.15,A1
A1778,A0,A1,5.0,A0,A0,A0,A0,A0,A2,20.35,A0
A1779,A0,A1,26.0,A0,A0,A1,A2,A1,A3,49.15,A0
A1780,A0,A1,1.0,A0,A0,A2,A2,A1,A1,85.45,A1
A1781,A0,A0,,A0,A1,A2,A2,A1,A1,84.5,A1
A1782,A1,A1,1.0,A0,A1,A2,A2,A1,A2,74.45,A1
A1783,A1,A1,68.0,A0,A1,A2,A1,A2,A1,95.9,A0
A1784,A0,A0,54.0,A1,A2,A1,A1,A1,A1,30.4,A0
A1785,A1,A1,,A0,A0,A2,A1,A1,A0,75.3,A1
A1786,A0,A0,67.0,A0,A0,A1,A1,A1,A2,60.05,A0
A1787,A0,A1,3.0,A0,A1,A2,A2,A2,A1,100.95,A1
A1788,A0,A0,6.0,A0,A0,A2,A1,A2,A1,91.0,
A1789,A0,A0,20.0,A0,A0,A1,A2,A2,A2,64.15,A0
A1790,A0,A0,15.0,A1,A2,A1,A2,A1,A3,30.2,A0
A1791,A0,A1,31.0,A0,A1,A2,A2,A2,A1,89.9,A1
A1792,A0,A1,8.0,A0,A0,A1,A2,A2,A2,64.1,A0
A1793,A1,A0,1.0,A0,A1,A2,A2,A1,A1,74.45,A1
A1794,A0,A0,38.0,A0,A0,A1,A1,A1,A1,54.5,
A1795,A0,A0,14.0,A0,A0,A1,A1,A1,A3,59.45,
A1796,A1,A0,43.0,A0,A1,A2,A1,A2,A1,101.0,
A1797,A0,A1,37.0,A0,A0,A0,A0,A0,A2,19.8,A0
A1798,A0,A1,1.0,A0,A0,A0,A0,A0,A2,20.3,A0
A1799,A1,A0,70.0,A0,A1,A2,A1,A2,A0,113.0,A0
A1800,A0,A1,24.0,A0,A0,A1,A2,A1,A1,51.15,
A1801,A0,A0,72.0,A0,A1,A2,A1,A2,A1,101.35,A0
A1802,A0,A0,56.0,A1,A2,A1,A1,A1,A0,36.1,A0
A1803,A0,A0,50.0,A0,A0,A0,A0,A0,A1,19.8,A0
A1804,A0,A0,70.0,A0,A1,A1,A1,A2,A0,85.95,A0
A1805,A0,A0,61.0,A0,A1,A2,A1,A2,A1,106.2,A0
A1806,A0,A0,70.0,A0,A1,A1,A1,A1,A1,80.7,A0
A1807,A0,A1,25.0,A0,A0,A0,A0,A0,A0,19.2,A0
A1808,A1,A1,2.0,A0,A1,A2,A2,A1,A1,78.55,A1
A1809,A0,A0,14.0,A0,A0,A1,A1,A2,A3,61.4,A0
A1810,A0,A1,13.0,A0,A0,A2,A2,A2,A1,80.5,A0
A1811,A0,A1,72.0,A0,A1,A2,A1,A2,A3,109.2,A0
A1812,A0,A0,21.0,A0,A1,A2,A2,A2,A1,103.9,A1
A1813,A0,A1,39.0,A1,A2,A1,A2,A1,A0,30.1,A1
A1814,A0,A0,67.0,A1,A2,A1,A1,A1,A0,54.2,
A1815,A1,A0,5.0,A0,A0,A2,A2,A1,A1,70.05,A0
A1816,A0,A1,17.0,A0,A0,A0,A0,A0,A0,19.45,A0
A1817,A0,A1,49.0,A0,A0,A1,A2,A2,A3,74.45,A0
A1818,A1,A1,3.0,A0,A1,A2,A2,A1,A1,77.0,A1
A1819,A0,A0,14.0,A0,A0,A0,A0,A0,A2,19.75,
A1820,A0,A0,52.0,A0,A1,A2,A2,A1,A0,91.6,A0
A1821,A0,A1,4.0,A1,A2,A1,A1,A1,A2,42.4,A0
A1822,A1,A1,42.0,A0,A1,A2,A1,A2,A3,104.75,A1
A1823,A0,A0,52.0,A0,A1,A0,A0,A0,A2,24.8,
A1824,A0,A1,3.0,A0,A0,A1,A2,A1,A1,49.15,A1
A1825,A0,A0,71.0,A1,A2,A1,A1,A1,A3,47.6,A0
A1826,A0,A1,47.0,A1,A2,A1,A1,A1,A0,39.65,A0
A1827,A0,A0,41.0,A0,A1,A2,A1,A1,A3,94.3,
A1828,A0,A1,11.0,A0,A0,A1,A2,A2,A3,64.05,A0
A1829,A1,A0,,A0,A0,A2,A2,A1,A0,74.15,
A1830,A0,A1,8.0,A0,A0,A0,A0,A0,A3,19.45,A0
A1831,A0,A1,17.0,A0,A1,A1,A2,A1,A2,69.0,A0
A1832,A0,A1,6.0,A0,A0,A2,A2,A1,A0,80.5,A1
A1833,A0,A1,,A0,A1,A1,A1,A1,A3,64.95,
A1834,A0,A0,67.0,A0,A1,A2,A1,A1,A0,94.1,A0
A1835,A0,A1,4.0,A0,A1,A2,A2,A2,A2,100.85,A0
A1836,A0,A0,3.0,A0,A1,A2,A2,A2,A3,84.75,A1
A1837,A0,A1,35.0,A0,A0,A1,A1,A1,A0,55.6,A0
A1838,A0,A0,,A0,A0,A2,A1,A1,A2,86.8,A0
,A0,A0,48.0,A1,A2,A1,A2,A1,A0,29.5,A0
A1840,A0,A1,55.0,A0,A0,A1,A1,A2,A2,64.75,A0
A1841,A1,A1,7.0,A0,A0,A1,A1,A1,A1,64.95,
,A0,A0,50.0,A0,A1,A1,A2,A1,A1,69.65,A0
A1843,A0,A0,56.0,A0,A1,A2,A1,A2,A0,100.3,A1
A1844,A0,A0,69.0,A0,A1,A2,A2,A1,A3,84.45,A0
A1845,A0,A1,4.0,A0,A0,A2,A2,A2,A0,82.85,
A1846,A0,A1,52.0,A0,A0,A0,A0,A0,A3,21.0,A0
A1847,A0,A0,69.0,A1,A2,A1,A2,A2,A3,60.25,A0
A1848,A1,A0,36.0,A0,A0,A1,A2,A1,A0,54.1,A0
A1849,A0,A0,61.0,A0,A0,A0,A0,A0,A0,20.55,A0
A1850,A1,A1,54.0,A0,A1,A1,A1,A2,A3,82.45,A1
A1851,A0,A0,70.0,A0,A1,A1,A2,A2,A0,76.95,A0
A1852,A0,A1,1.0,A0,A1,A0,A0,A0,A2,24.05,A1
A1853,A1,A0,30.0,A0,A0,A1,A1,A1,A3,50.4,A1
A1854,A0,A0,1.0,A0,A0,A2,A2,A1,A1,80.55,A1
A1855,A0,A0,46.0,A0,A0,A1,A1,A1,A2,65.65,A0
A1856,A1,A0,72.0,A0,A1,A2,A1,A2,A0,116.75,A0
A1857,A0,A1,3.0,A0,A0,A2,A2,A1,A1,70.15,A0
A1858,A0,A1,1.0,A0,A0,A2,A2,A1,A1,80.25,A1
A1859,A1,A1,2.0,A0,A1,A2,A2,A1,A1,85.55,A1
A1860,A0,A0,,A0,A0,A1,A2,A1,A1,44.95,A0
A1861,A0,A1,47.0,A0,A0,A0,A0,A0,A3,20.45,A0
A1862,A0,A1,48.0,A0,A1,A2,A2,A2,A1,95.4,A0
A1863,A0,A1,20.0,A0,A0,A0,A0,A0,A3,19.5,A0
A1864,A0,A0,34.0,A0,A1,A2,A2,A1,A1,87.45,A1
A1865,A0,A1,46.0,A0,A0,A2,A1,A2,A3,105.2,A1
A1866,A0,A1,25.0,A0,A0,A0,A0,A0,A0,20.05,A0
A1867,A0,A0,44.0,A0,A0,A2,A2,A2,A3,90.65,A0
A1868,A0,A1,,A0,A0,A0,A0,A0,A2,20.45,A0
A1869,A0,A1,7.0,A0,A0,A0,A0,A0,A2,19.3,A0
A1870,A0,A1,47.0,A0,A0,A1,A2,A2,A2,74.45,A0
A1871,A0,A0,39.0,A0,A0,A0,A0,A0,A3,20.45,A0
A1872,A0,A1,6.0,A0,A0,A1,A2,A1,A2,60.9,
A1873,A0,A1,54.0,A0,A1,A2,A1,A1,A3,94.75,A0
A1874,A0,A1,32.0,A0,A1,A1,A1,A1,A1,54.2,A0
A1875,A0,A0,55.0,A0,A0,A0,A0,A0,A0,19.4,A0
A1876,A0,A0,60.0,A0,A1,A2,A2,A1,A3,95.4,A0
A1877,A0,A0,72.0,A1,A2,A1,A1,A2,A1,64.7,A0
A1878,A0,A1,3.0,A1,A2,A1,A2,A1,A2,41.35,A0
A1879,A0,A0,9.0,A0,A1,A2,A1,A2,A0,102.6,A0
A1880,A0,A0,24.0,A0,A1,A2,A2,A2,A1,101.05,A1
A1881,A0,A1,65.0,A0,A1,A2,A2,A2,A1,93.55,A0
A1882,A1,A1,28.0,A0,A1,A2,A2,A2,A1,103.3,A1
A1883,A0,A1,60.0,A1,A2,A1,A1,A2,A1,50.8,A1
A1884,A1,A1,9.0,A0,A1,A2,A2,A2,A1,83.85,A1
A1885,A0,A0,72.0,A0,A0,A0,A0,A0,A0,20.5,A0
A1886,A0,A1,2.0,A0,A0,A2,A2,A1,A0,69.8,A1
A1887,A0,A1,56.0,A0,A0,A1,A1,A2,A3,75.75,A0
A1888,A0,A0,40.0,A0,A0,A1,A1,A1,A2,50.15,A0
A1889,A0,A0,62.0,A0,A0,A0,A0,A0,A0,20.65,A0
A1890,A0,A0,64.0,A0,A0,A1,A2,A2,A0,73.05,A0
A1891,A1,A0,7.0,A0,A0,A2,A2,A1,A2,70.1,
A1892,A0,A1,3.0,A0,A0,A1,A1,A2,A2,71.1,A0
A1893,A0,A1,16.0,A0,A0,A0,A0,A0,A0,19.35,A0
A1894,A0,A1,6.0,A0,A0,A0,A0,A0,A2,19.55,A0
A1895,A0,A1,1.0,A0,A0,A2,A2,A2,A1,90.85,
A1896,A0,A1,13.0,A0,A0,A0,A0,A0,A2,19.95,A0
A1897,A0,A1,65.0,A0,A0,A0,A0,A0,A0,19.55,A0
A1898,A0,A1,1.0,A1,A2,A1,A2,A1,A2,24.7,A0
A1899,A1,A0,72.0,A0,A0,A2,A1,A1,A0,84.8,A0
A1900,A0,A1,50.0,A0,A0,A2,A2,A1,A0,70.35,A0
A1901,A0,A0,,A0,A0,A1,A2,A1,A2,60.2,A0
A1902,A0,A0,38.0,A0,A1,A2,A1,A1,A1,94.65,A1
A1903,A0,A0,68.0,A0,A0,A0,A0,A0,A3,19.35,A0
A1904,A0,A0,29.0,A0,A1,A0,A0,A0,A2,26.1,A0
A1905,A0,A1,52.0,A0,A0,A0,A0,A0,A2,20.65,A0
A1906,A0,A0,,A0,A0,A0,A0,A0,A3,20.2,A0
A1907,A0,A1,49.0,A0,A1,A2,A1,A2,A0,109.2,A0
A1908,A0,A0,33.0,A0,A0,A1,A1,A2,A0,82.1,A0
A1909,A0,A1,23.0,A1,A2,A1,A2,A1,A2,40.1,A0
A1910,A0,A1,1.0,A0,A0,A2,A2,A1,A3,69.75,A1
A1911,A0,A1,3.0,A0,A0,A2,A1,A2,A1,97.9,A1
A1912,A1,A1,1.0,A0,A0,A2,A2,A1,A3,69.5,A1
